Date,NetPnL,TradesOpened
2019-01-11,105.12,1
2019-01-14,-493.09,1
2019-01-15,1064.39,1
2019-01-24,0.00,1
2019-01-25,62.69,0
2019-01-29,-470.01,2
2019-01-30,1453.73,0
2019-01-31,60.38,1
2019-02-06,114.02,1
2019-02-08,0.00,1
2019-02-12,163.66,1
2019-02-19,0.00,1
2019-02-20,550.14,1
2019-02-22,-229.93,1
2019-02-25,-482.16,1
2019-02-28,1069.54,1
2019-03-03,0.00,1
2019-03-04,-164.17,0
2019-03-14,-424.35,1
2019-03-18,0.00,1
2019-03-19,-11.34,0
2019-03-20,738.51,2
2019-03-21,-480.12,1
2019-03-25,0.00,1
2019-03-27,1142.52,2
2019-03-28,23.35,0
2019-04-01,-1115.82,2
2019-04-04,-334.52,1
2019-04-10,0.00,1
2019-04-11,-74.98,0
2019-04-15,1905.64,4
2019-04-29,139.04,1
2019-04-30,0.00,1
2019-05-01,111.01,0
2019-05-02,-168.63,1
2019-05-06,72.39,1
2019-05-08,-578.29,1
2019-05-10,74.66,1
2019-05-13,0.00,1
2019-05-15,-462.63,0
2019-05-24,0.00,1
2019-05-29,1046.66,0
2019-06-06,-472.66,1
2019-06-11,266.87,1
2019-06-26,-170.22,1
2019-06-28,-445.53,1
2019-07-01,-440.83,1
2019-07-04,-444.40,1
2019-07-08,-508.21,1
2019-07-11,0.00,1
2019-07-15,1085.39,1
2019-07-16,-5.91,0
2019-07-19,-254.49,1
2019-07-22,0.00,1
2019-07-23,1042.20,0
2019-07-24,0.00,1
2019-07-25,-36.77,1
2019-07-31,0.00,1
2019-08-01,1434.47,0
2019-08-05,-909.11,2
2019-08-07,-461.15,1
2019-08-08,0.00,1
2019-08-12,2.15,0
2019-08-13,-442.93,1
2019-08-14,-291.01,2
2019-08-16,49.79,0
2019-08-19,0.00,1
2019-08-20,-339.13,2
2019-08-21,-234.47,0
2019-08-23,765.28,1
2019-09-02,-202.63,1
2019-09-04,-471.42,1
2019-09-12,22.07,1
2019-09-15,0.00,1
2019-09-16,-461.40,0
2019-09-26,-386.02,2
2019-09-27,0.00,1
2019-09-30,173.77,1
2019-10-01,563.18,1
2019-10-03,0.00,1
2019-10-04,-129.16,1
2019-10-07,36.76,0
2019-10-09,-426.79,1
2019-10-10,1031.28,1
2019-10-15,-379.59,2
2019-10-16,623.71,2
2019-10-17,-541.80,2
2019-10-21,-246.64,0
2019-10-29,-406.35,2
2019-10-30,-12.80,1
2019-11-04,-471.73,1
2019-11-13,0.00,1
2019-11-14,364.14,0
2019-11-19,-305.15,1
2019-11-21,-425.03,1
2019-11-22,-427.40,1
2019-11-25,-320.68,2
2019-12-02,0.00,1
2019-12-03,-500.99,0
2019-12-10,-477.97,1
2019-12-13,-695.81,2
2019-12-16,-475.29,1
2019-12-23,-148.51,1
2019-12-26,1133.02,1
2019-12-27,-436.16,1
2019-12-31,0.00,1
2020-01-02,9.98,0
2020-01-07,-434.90,1
2020-01-10,-482.09,1
2020-01-20,880.82,1
2020-01-21,0.00,1
2020-01-22,39.48,0
2020-01-24,0.00,2
2020-01-26,-803.15,0
2020-01-27,-587.68,0
2020-01-29,-489.75,1
2020-01-30,-452.39,1
2020-02-06,0.00,1
2020-02-07,-123.02,1
2020-02-12,1060.24,1
2020-02-13,0.00,1
2020-02-14,62.48,1
2020-02-16,-155.99,0
2020-02-24,-538.33,1
2020-03-04,-19.33,1
2020-03-08,0.00,1
2020-03-09,-512.96,0
2020-03-11,0.00,1
2020-03-12,52.82,0
2020-03-15,-373.51,1
2020-03-17,47.26,1
2020-03-26,0.00,1
2020-03-27,-446.00,0
2020-03-31,-452.85,1
2020-04-15,0.00,1
2020-04-16,-565.31,0
2020-04-17,0.00,1
2020-04-20,-509.08,0
2020-04-23,-490.54,1
2020-04-27,-485.80,1
2020-04-30,-887.57,2
2020-05-04,0.00,1
2020-05-05,-1225.23,2
2020-05-06,1061.66,1
2020-05-13,0.00,1
2020-05-14,958.50,0
2020-05-15,-190.42,1
2020-05-22,117.36,3
2020-05-25,117.67,1
2020-05-26,-502.47,0
2020-05-28,64.98,1
2020-06-15,-160.27,3
2020-06-16,-434.69,0
2020-06-17,-168.10,2
2020-06-18,142.72,3
2020-06-19,-59.77,1
2020-06-24,-442.62,1
2020-06-25,0.00,1
2020-06-26,-103.86,0
2020-07-03,0.00,1
2020-07-06,-187.22,0
2020-07-09,-565.39,1
2020-07-14,494.74,1
2020-07-17,-482.55,2
2020-07-20,59.92,0
2020-07-28,-330.32,1
2020-07-29,-273.39,1
2020-08-06,0.00,1
2020-08-07,59.05,0
2020-08-10,-192.94,3
2020-08-13,0.00,1
2020-08-14,0.00,1
2020-08-17,-384.72,0
2020-08-18,-457.67,0
2020-08-20,1052.71,1
2020-08-26,0.00,1
2020-08-27,175.74,2
2020-08-28,0.00,1
2020-08-31,-188.91,1
2020-09-01,1072.66,0
2020-09-03,0.00,1
2020-09-04,0.00,1
2020-09-08,1087.67,0
2020-09-09,-455.95,0
2020-09-11,0.00,1
2020-09-14,1131.81,1
2020-09-15,-491.27,2
2020-09-16,84.56,0
2020-09-17,-786.16,2
2020-09-18,0.00,1
2020-09-21,1022.64,0
2020-10-01,-65.27,1
2020-10-02,-436.44,2
2020-10-05,0.00,1
2020-10-06,1031.75,0
2020-10-07,-448.31,1
2020-10-08,0.00,2
2020-10-09,-403.04,0
2020-10-19,-451.08,2
2020-10-20,-407.78,1
2020-10-22,691.60,2
2020-10-23,-414.40,2
2020-10-26,-520.53,1
2020-10-28,985.13,0
2020-10-30,-194.27,1
2020-11-03,-451.23,1
2020-11-04,0.00,1
2020-11-05,442.64,0
2020-11-06,1016.41,2
2020-11-09,-295.05,0
2020-11-19,-460.88,1
2020-11-24,0.00,1
